"funnel_step","funnel_name","platform","age_range","download_date","ride_count"
"1","Ride requested","android","18-24","2021-01-02 00:00:00","62"
"1","Ride requested","android","18-24","2021-01-04 00:00:00","43"
"1","Ride requested","android","18-24","2021-01-05 00:00:00","50"
"1","Ride requested","android","18-24","2021-01-06 00:00:00","50"
"1","Ride requested","android","18-24","2021-01-07 00:00:00","0"
"1","Ride requested","android","18-24","2021-01-08 00:00:00","83"
"1","Ride requested","android","18-24","2021-01-09 00:00:00","83"
"1","Ride requested","android","18-24","2021-01-10 00:00:00","27"
"1","Ride requested","android","18-24","2021-01-11 00:00:00","26"
"1","Ride requested","android","18-24","2021-01-12 00:00:00","69"
"1","Ride requested","android","18-24","2021-01-14 00:00:00","39"
"1","Ride requested","android","18-24","2021-01-15 00:00:00","30"
"1","Ride requested","android","18-24","2021-01-16 00:00:00","123"
"1","Ride requested","android","18-24","2021-01-17 00:00:00","22"
"1","Ride requested","android","18-24","2021-01-18 00:00:00","88"
"1","Ride requested","android","18-24","2021-01-19 00:00:00","87"
"1","Ride requested","android","18-24","2021-01-20 00:00:00","87"
"1","Ride requested","android","18-24","2021-01-21 00:00:00","53"
"1","Ride requested","android","18-24","2021-01-22 00:00:00","28"
"1","Ride requested","android","18-24","2021-01-23 00:00:00","20"
"1","Ride requested","android","18-24","2021-01-26 00:00:00","33"
"1","Ride requested","android","18-24","2021-01-28 00:00:00","13"
"1","Ride requested","android","18-24","2021-01-29 00:00:00","50"
"1","Ride requested","android","18-24","2021-01-30 00:00:00","0"
"1","Ride requested","android","18-24","2021-01-31 00:00:00","91"
"1","Ride requested","android","18-24","2021-02-01 00:00:00","0"
"1","Ride requested","android","18-24","2021-02-03 00:00:00","47"
"1","Ride requested","android","18-24","2021-02-04 00:00:00","39"
"1","Ride requested","android","18-24","2021-02-05 00:00:00","30"
"1","Ride requested","android","18-24","2021-02-06 00:00:00","42"
"1","Ride requested","android","18-24","2021-02-07 00:00:00","96"
"1","Ride requested","android","18-24","2021-02-09 00:00:00","22"
"1","Ride requested","android","18-24","2021-02-10 00:00:00","56"
"1","Ride requested","android","18-24","2021-02-12 00:00:00","37"
"1","Ride requested","android","18-24","2021-02-13 00:00:00","73"
"1","Ride requested","android","18-24","2021-02-14 00:00:00","52"
"1","Ride requested","android","18-24","2021-02-15 00:00:00","31"
"1","Ride requested","android","18-24","2021-02-17 00:00:00","31"
"1","Ride requested","android","18-24","2021-02-18 00:00:00","0"
"1","Ride requested","android","18-24","2021-02-19 00:00:00","23"
"1","Ride requested","android","18-24","2021-02-20 00:00:00","65"
"1","Ride requested","android","18-24","2021-02-21 00:00:00","102"
"1","Ride requested","android","18-24","2021-02-22 00:00:00","0"
"1","Ride requested","android","18-24","2021-02-24 00:00:00","0"
"1","Ride requested","android","18-24","2021-02-25 00:00:00","66"
"1","Ride requested","android","18-24","2021-02-26 00:00:00","75"
"1","Ride requested","android","18-24","2021-02-27 00:00:00","100"
"1","Ride requested","android","18-24","2021-02-28 00:00:00","28"
"1","Ride requested","android","18-24","2021-03-01 00:00:00","0"
"1","Ride requested","android","18-24","2021-03-02 00:00:00","31"
"1","Ride requested","android","18-24","2021-03-06 00:00:00","35"
"1","Ride requested","android","18-24","2021-03-07 00:00:00","21"
"1","Ride requested","android","18-24","2021-03-09 00:00:00","72"
"1","Ride requested","android","18-24","2021-03-11 00:00:00","19"
"1","Ride requested","android","18-24","2021-03-12 00:00:00","33"
"1","Ride requested","android","18-24","2021-03-16 00:00:00","27"
"1","Ride requested","android","18-24","2021-03-17 00:00:00","93"
"1","Ride requested","android","18-24","2021-03-18 00:00:00","29"
"1","Ride requested","android","18-24","2021-03-19 00:00:00","0"
"1","Ride requested","android","18-24","2021-03-20 00:00:00","24"
"1","Ride requested","android","18-24","2021-03-21 00:00:00","41"
"1","Ride requested","android","18-24","2021-03-22 00:00:00","86"
"1","Ride requested","android","18-24","2021-03-24 00:00:00","25"
"1","Ride requested","android","18-24","2021-03-25 00:00:00","31"
"1","Ride requested","android","18-24","2021-03-26 00:00:00","83"
"1","Ride requested","android","18-24","2021-03-30 00:00:00","78"
"1","Ride requested","android","18-24","2021-03-31 00:00:00","55"
"1","Ride requested","android","18-24","2021-04-03 00:00:00","40"
"1","Ride requested","android","18-24","2021-04-04 00:00:00","0"
"1","Ride requested","android","18-24","2021-04-07 00:00:00","44"
"1","Ride requested","android","18-24","2021-04-09 00:00:00","82"
"1","Ride requested","android","18-24","2021-04-10 00:00:00","0"
"1","Ride requested","android","18-24","2021-04-11 00:00:00","35"
"1","Ride requested","android","18-24","2021-04-12 00:00:00","36"
"1","Ride requested","android","18-24","2021-04-13 00:00:00","54"
"1","Ride requested","android","18-24","2021-04-14 00:00:00","42"
"1","Ride requested","android","18-24","2021-04-15 00:00:00","24"
"1","Ride requested","android","18-24","2021-04-16 00:00:00","100"
"1","Ride requested","android","18-24","2021-04-17 00:00:00","69"
"1","Ride requested","android","18-24","2021-04-18 00:00:00","22"
"1","Ride requested","android","18-24","2021-04-20 00:00:00","0"
"1","Ride requested","android","18-24","2021-04-22 00:00:00","109"
"1","Ride requested","android","18-24","2021-04-23 00:00:00","21"
"1","Ride requested","android","18-24","2021-04-24 00:00:00","33"
"1","Ride requested","android","18-24","2021-04-25 00:00:00","26"
"1","Ride requested","android","18-24","2021-04-26 00:00:00","55"
"1","Ride requested","android","18-24","2021-04-27 00:00:00","66"
"1","Ride requested","android","18-24","2021-04-28 00:00:00","35"
"1","Ride requested","android","18-24","2021-05-01 00:00:00","0"
"1","Ride requested","android","18-24","2021-05-02 00:00:00","123"
"1","Ride requested","android","18-24","2021-05-04 00:00:00","27"
"1","Ride requested","android","18-24","2021-05-07 00:00:00","77"
"1","Ride requested","android","18-24","2021-05-08 00:00:00","23"
"1","Ride requested","android","18-24","2021-05-09 00:00:00","20"
"1","Ride requested","android","18-24","2021-05-13 00:00:00","33"
"1","Ride requested","android","18-24","2021-05-14 00:00:00","29"
"1","Ride requested","android","18-24","2021-05-15 00:00:00","30"
"1","Ride requested","android","18-24","2021-05-16 00:00:00","37"
"1","Ride requested","android","18-24","2021-05-18 00:00:00","72"
"1","Ride requested","android","18-24","2021-05-19 00:00:00","36"
"1","Ride requested","android","18-24","2021-05-20 00:00:00","33"
"1","Ride requested","android","18-24","2021-05-21 00:00:00","25"
"1","Ride requested","android","18-24","2021-05-23 00:00:00","73"
"1","Ride requested","android","18-24","2021-05-24 00:00:00","48"
"1","Ride requested","android","18-24","2021-05-28 00:00:00","67"
"1","Ride requested","android","18-24","2021-05-29 00:00:00","0"
"1","Ride requested","android","18-24","2021-05-30 00:00:00","34"
"1","Ride requested","android","18-24","2021-05-31 00:00:00","26"
"1","Ride requested","android","18-24","2021-06-03 00:00:00","39"
"1","Ride requested","android","18-24","2021-06-04 00:00:00","0"
"1","Ride requested","android","18-24","2021-06-05 00:00:00","119"
"1","Ride requested","android","18-24","2021-06-06 00:00:00","0"
"1","Ride requested","android","18-24","2021-06-07 00:00:00","118"
"1","Ride requested","android","18-24","2021-06-08 00:00:00","70"
"1","Ride requested","android","18-24","2021-06-09 00:00:00","33"
"1","Ride requested","android","18-24","2021-06-10 00:00:00","59"
"1","Ride requested","android","18-24","2021-06-12 00:00:00","39"
"1","Ride requested","android","18-24","2021-06-13 00:00:00","51"
"1","Ride requested","android","18-24","2021-06-15 00:00:00","33"
"1","Ride requested","android","18-24","2021-06-16 00:00:00","65"
"1","Ride requested","android","18-24","2021-06-17 00:00:00","125"
"1","Ride requested","android","18-24","2021-06-18 00:00:00","78"
"1","Ride requested","android","18-24","2021-06-19 00:00:00","0"
"1","Ride requested","android","18-24","2021-06-20 00:00:00","33"
"1","Ride requested","android","18-24","2021-06-21 00:00:00","90"
"1","Ride requested","android","18-24","2021-06-22 00:00:00","133"
"1","Ride requested","android","18-24","2021-06-24 00:00:00","30"
"1","Ride requested","android","18-24","2021-06-25 00:00:00","18"
"1","Ride requested","android","18-24","2021-06-26 00:00:00","0"
"1","Ride requested","android","18-24","2021-06-27 00:00:00","26"
